Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.16,-.27,-.04,-.36,-.12,-.01,-.78,-.46,-.28,-.14,-.09,-.03,.05,.65
1881,-.08,-.17,.01,-.34,.11,-.06,-.90,-.43,-.20,.11,.12,-.05,-.07,.58
1882,-.10,-.21,.00,-.30,-.04,.02,-1.40,-.26,-.15,-.04,-.03,.02,.04,.61
1883,-.17,-.28,-.06,-.35,-.16,-.01,-.17,-.54,-.28,-.17,-.14,-.03,.07,.48
1884,-.28,-.43,-.14,-.60,-.14,-.14,-1.29,-.62,-.48,-.13,-.15,-.19,-.02,.63
1885,-.33,-.43,-.24,-.65,-.12,-.27,-1.50,-.66,-.46,-.06,-.19,-.33,-.15,.80
1886,-.31,-.43,-.19,-.57,-.19,-.21,-1.58,-.48,-.41,-.21,-.17,-.20,-.21,.57
1887,-.36,-.43,-.28,-.52,-.29,-.28,-1.75,-.49,-.31,-.29,-.29,-.27,-.26,.30
1888,-.17,-.23,-.11,-.42,.11,-.29,-1.29,-.41,-.26,.08,.14,-.31,-.23,.14
1889,-.10,-.17,-.04,-.29,.09,-.16,-.67,-.20,-.28,.02,.15,-.15,-.15,.43
1890,-.35,-.38,-.32,-.45,-.36,-.22,-1.12,-.54,-.27,-.26,-.46,-.17,-.27,.13
1891,-.22,-.25,-.19,-.43,-.07,-.22,-1.11,-.32,-.37,.01,-.16,-.18,-.24,-.17
1892,-.27,-.39,-.15,-.44,-.29,-.08,-1.14,-.64,-.18,-.32,-.25,.02,-.22,.07
1893,-.31,-.48,-.15,-.52,-.36,-.05,-.69,-.54,-.48,-.41,-.31,.07,-.20,-.06
1894,-.31,-.39,-.24,-.32,-.37,-.24,-.94,-.31,-.19,-.49,-.23,-.15,-.35,-.39
1895,-.23,-.30,-.16,-.40,-.09,-.26,-.66,-.51,-.28,-.14,-.02,-.20,-.32,-.60
1896,-.11,-.19,-.02,-.35,.11,-.15,-.86,-.35,-.23,.06,.15,-.15,-.13,.24
1897,-.10,-.16,-.05,-.35,.18,-.23,-.55,-.46,-.25,.15,.21,-.18,-.27,.39
1898,-.27,-.28,-.26,-.35,-.21,-.26,-1.16,-.23,-.24,-.17,-.25,-.27,-.21,.36
1899,-.18,-.21,-.14,-.25,-.12,-.19,-1.05,-.09,-.16,-.16,-.08,-.15,-.22,.57
1900,-.08,-.09,-.06,-.21,.18,-.30,-.57,-.15,-.16,.10,.26,-.28,-.29,.25
1901,-.16,-.12,-.18,-.16,-.04,-.30,-.40,-.09,-.15,-.06,-.02,-.27,-.34,.24
1902,-.27,-.32,-.22,-.52,-.04,-.35,-1.31,-.49,-.33,-.02,-.05,-.28,-.43,-.06
1903,-.36,-.37,-.36,-.46,-.28,-.38,-.20,-.41,-.57,-.23,-.33,-.35,-.40,-.49
1904,-.46,-.48,-.45,-.50,-.45,-.44,-.15,-.59,-.56,-.43,-.48,-.37,-.49,-1.32
1905,-.26,-.29,-.22,-.41,-.07,-.36,-.06,-.22,-.63,-.11,-.03,-.32,-.37,-.34
1906,-.22,-.23,-.20,-.25,-.18,-.23,-.27,-.05,-.40,-.21,-.15,-.20,-.22,-.71
1907,-.38,-.47,-.29,-.59,-.29,-.29,-.59,-.71,-.53,-.30,-.28,-.21,-.37,-1.20
1908,-.42,-.46,-.39,-.48,-.42,-.36,-.25,-.54,-.52,-.42,-.43,-.28,-.48,.67
1909,-.48,-.49,-.46,-.54,-.46,-.44,-.76,-.62,-.45,-.43,-.50,-.37,-.52,-.57
1910,-.43,-.44,-.42,-.42,-.48,-.38,-.57,-.24,-.50,-.48,-.47,-.33,-.45,.16
